entry_idx,entry_date,entry_price,direction,exit_idx,exit_date,exit_price,return_pct,pnl,probability,predicted_class,commission,forced_exit
87,2024-07-31,35.863,short,92,2024-08-05,35.503,1.003820093132196,-0.9961799068678041,0.7463319,0,2,
92,2024-08-05,35.492999999999995,short,94,2024-08-07,38.456,-8.34812498239092,-10.34812498239092,0.68996936,0,2,
91,2024-08-04,36.644,short,95,2024-08-08,40.1,-9.431284794236445,-11.431284794236445,0.74253696,0,2,
94,2024-08-07,38.446,short,99,2024-08-12,39.663000000000004,-3.165478853456812,-5.165478853456812,0.6511947,0,2,
95,2024-08-08,40.089999999999996,short,100,2024-08-13,39.485,1.5091045148415987,-0.4908954851584013,0.6543856,0,2,
99,2024-08-12,39.653,short,104,2024-08-17,39.649,0.010087509141799568,-1.9899124908582004,0.5365766,0,2,
100,2024-08-13,39.474999999999994,short,105,2024-08-18,39.649,-0.44078530715644487,-2.4407853071564447,0.50025624,0,2,
104,2024-08-17,39.638999999999996,short,109,2024-08-22,36.592000000000006,7.6868740381946825,5.6868740381946825,0.6078086,0,2,
105,2024-08-18,39.638999999999996,short,110,2024-08-23,36.868,6.990590075430747,4.990590075430747,0.6078086,0,2,
109,2024-08-22,36.592000000000006,long,114,2024-08-27,38.684,5.717096633143832,3.717096633143832,0.56519216,2,2,
110,2024-08-23,36.858,short,115,2024-08-28,38.525000000000006,-4.522763036518555,-6.522763036518555,0.5362845,0,2,
114,2024-08-27,38.694,long,119,2024-09-01,39.818,2.9048431281335483,0.9048431281335483,0.62957376,2,2,
115,2024-08-28,38.515,short,120,2024-09-02,38.585,-0.18174737115409656,-2.1817473711540964,0.5178213,0,2,
121,2024-09-03,37.187999999999995,short,126,2024-09-08,36.484,1.8930837904700268,-0.10691620952997316,0.5512466,0,2,
123,2024-09-05,36.19,short,128,2024-09-10,35.287,2.495164410058024,0.4951644100580239,0.6676717,0,2,
126,2024-09-08,36.474,short,131,2024-09-13,35.653000000000006,2.2509184624663896,0.2509184624663896,0.6700783,0,2,
128,2024-09-10,35.287,long,133,2024-09-15,35.643,1.0088701221413032,-0.9911298778586968,0.61609256,2,2,
131,2024-09-13,35.653000000000006,long,136,2024-09-18,35.239999999999995,-1.1583877934535967,-3.1583877934535964,0.6531794,2,2,
